annomese;regione;energia_tot;potenza_imp;tariffa;residenza;somma_pod
202510;Abruzzo;1222,764;408,0;MTIP;N;1
202510;Abruzzo;154,495;420,0;BTA6;N/A;1
202510;Abruzzo;225150,763;420,0;MTA2;N;7
202510;Abruzzo;93664,968;425,0;MTA2;N;1
202510;Abruzzo;29703,168;425,0;MTA2;N/A;1
202510;Abruzzo;82552,14;439,0;MTA2;N;1
202510;Abruzzo;36323,324;450,0;MTA2;N/A;1
202510;Abruzzo;15935,693;460,0;MTA2;N/A;1
202510;Abruzzo;445363,66;480,0;MTA2;N;6
202510;Abruzzo;89005,905;490,0;MTA2;N/A;2
202510;Abruzzo;65695,398;547,0;MTA3;N;1
202510;Abruzzo;209476,704;552,0;MTA3;N;1
202510;Abruzzo;167456,212;563,0;MTA3;N;2
202510;Abruzzo;432325,538;582,0;MTA3;N;2
202510;Abruzzo;42561,874;587,0;MTA3;N;1
202510;Abruzzo;13954,246;589,0;MTA3;N/A;1
202510;Abruzzo;218896,71;595,0;MTA3;N/A;3
202510;Abruzzo;562801,772;625,0;MTA3;N;5
202510;Abruzzo;109139,64;630,0;MTA3;N;1
202510;Abruzzo;62120,132;630,0;MTA3;N/A;4
202510;Abruzzo;144144,389;642,0;MTA3;N;1
202510;Abruzzo;132929,051;656,0;MTA3;N/A;2
202510;Abruzzo;9349,239;663,0;MTA3;N/A;1
202510;Abruzzo;497832,068;688,0;MTA3;N;5
202510;Abruzzo;103710,732;710,0;MTA3;N;1
202510;Abruzzo;292800,458;717,0;MTA3;N;1
202510;Abruzzo;5724,635;737,0;MTA3;N;1
202510;Abruzzo;629769,121;750,0;MTA3;N/A;6
202510;Abruzzo;54361,273;762,0;MTA3;N/A;1
202510;Abruzzo;50411,092;815,0;MTA3;N;2
202510;Abruzzo;338302,015;835,0;MTA3;N;1
202510;Abruzzo;4365,824;850,0;MTA3;N/A;1
202510;Abruzzo;152445,774;900,0;MTA3;N/A;3
202510;Abruzzo;419093,711;906,0;MTA3;N;1
202510;Abruzzo;283679,172;954,0;MTA3;N;1
